id,info,flags,type,path,source,destination,tourist,trailing,wait
7,Sports-car (VehicleInfo),Created- Spawned,Vehicle,14344,0,0,2,0,0,
35,Sedan (VehicleInfo),Created- Spawned,Vehicle,49699,0,0,2,0,0,
57,Suv (VehicleInfo),Created- Spawned,Vehicle,99269,0,0,5,0,0,
190,Sports-car (VehicleInfo),Created- Spawned,Vehicle,87319,0,0,1,0,0,
217,Camper Trailer 02 (VehicleInfo),Created- Spawned,Vehicle,0,0,0,0,0,0,
221,Sports-car (VehicleInfo),Created- Spawned,Vehicle,253875,0,0,1,0,0,
282,Van (VehicleInfo),Created- Spawned- TransferToTarget- GoingBack- Importing,Vehicle,70679,24075,0,0,0,0,
421,Suv (VehicleInfo),Created- Spawned,Vehicle,234043,0,0,0,0,0,
430,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,210481,0,0,1,0,0,
469,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,2871,0,0,0,0,0,
473,Suv (VehicleInfo),Created- Spawned,Vehicle,10903,0,0,1,0,0,
550,Sports-car (VehicleInfo),Created- Spawned,Vehicle,146687,0,0,1,0,0,
586,Sedan (VehicleInfo),Created- Spawned,Vehicle,12185,0,0,0,0,0,
649,Hatchback (VehicleInfo),Created- Spawned,Vehicle,257565,0,0,1,0,0,
686,hotdog-van (VehicleInfo),Created- Spawned- TransferToTarget- GoingBack- Importing,Vehicle,81330,24075,0,0,0,0,
697,Suv (VehicleInfo),Created- Spawned,Vehicle,231431,0,0,1,0,0,
712,Camper Van 02 (VehicleInfo),Created- Spawned,Vehicle,91771,0,0,3,0,0,
713,Hatchback (VehicleInfo),Created- Spawned,Vehicle,250278,0,0,1,0,0,
791,Camper Van 03 (VehicleInfo),Created- Spawned,Vehicle,208117,0,0,1,0,0,
794,Hatchback (VehicleInfo),Created- Spawned,Vehicle,26591,0,0,2,0,0,
834,Sports-car (VehicleInfo),Created- Spawned,Vehicle,123784,0,0,1,0,0,
898,Sedan (VehicleInfo),Created- Spawned,Vehicle,148935,0,0,1,0,0,
922,Scooter (VehicleInfo),Created- Spawned,Vehicle,229694,0,0,1,0,0,
937,Hatchback (VehicleInfo),Created- Spawned,Vehicle,12596,0,0,0,0,0,
942,Suv (VehicleInfo),Created- Spawned,Vehicle,27289,0,0,0,0,0,
961,Hatchback (VehicleInfo),Created- Spawned,Vehicle,17933,0,0,1,0,0,
978,Camper Trailer 01 (VehicleInfo),Created- Spawned,Vehicle,0,0,0,0,0,0,
989,Suv (VehicleInfo),Created- Spawned,Vehicle,140962,0,0,2,0,0,
1001,Suv (VehicleInfo),Created- Spawned,Vehicle,221602,0,0,1,0,0,
1013,Hatchback (VehicleInfo),Created- Spawned,Vehicle,235935,0,0,1,13721,0,
1021,Suv (VehicleInfo),Created- Spawned,Vehicle,159115,0,0,1,1336,0,
1065,Electric Car 03 (VehicleInfo),Created- Spawned,Vehicle,220309,0,0,2,0,0,
1068,Electric Car 04 (VehicleInfo),Created- Spawned,Vehicle,259891,0,0,0,0,0,
1132,Hatchback (VehicleInfo),Created- Spawned,Vehicle,250007,0,0,0,0,0,
1162,Sedan (VehicleInfo),Created- Spawned,Vehicle,48849,0,0,0,0,0,
1164,Camper Trailer 01 (VehicleInfo),Created- Spawned,Vehicle,0,0,0,0,0,0,
1175,Scooter (VehicleInfo),Created- Spawned,Vehicle,155227,0,0,1,0,0,
1225,Donut Van (VehicleInfo),Created- Spawned- TransferToTarget- GoingBack- Importing,Vehicle,128069,24075,0,0,0,0,
1239,Sedan (VehicleInfo),Created- Spawned,Vehicle,130607,0,0,2,0,0,
1250,Suv (VehicleInfo),Created- Spawned,Vehicle,189344,0,0,2,0,0,
1275,Sedan (VehicleInfo),Created- Spawned,Vehicle,32242,0,0,1,0,0,
1336,Camper Trailer 01 (VehicleInfo),Created- Spawned,Vehicle,0,0,0,0,0,0,
1346,Suv (VehicleInfo),Created- Spawned,Vehicle,114078,0,0,1,12916,0,
1401,Bugspray Van (VehicleInfo),Created- Spawned- TransferToTarget- Importing,Vehicle,38757,806,48433,0,0,0,
1414,Sedan (VehicleInfo),Created- Spawned,Vehicle,40973,0,0,0,0,0,
1463,Sedan (VehicleInfo),Created- Spawned- Arriving,Vehicle,0,0,0,1,0,0,
1493,Scooter (VehicleInfo),Created- Spawned,Vehicle,256585,0,0,0,0,0,
1522,Sedan (VehicleInfo),Created- Spawned,Vehicle,187643,0,0,2,0,0,
1574,Camper Trailer 02 (VehicleInfo),Created- Spawned,Vehicle,0,0,0,0,0,0,
1632,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,184980,0,0,0,0,0,
1732,Hatchback (VehicleInfo),Created- Spawned,Vehicle,190351,0,0,2,0,0,
1758,Scooter (VehicleInfo),Created- Spawned,Vehicle,155475,0,0,0,0,0,
1766,Suv (VehicleInfo),Created- Spawned,Vehicle,176337,0,0,0,0,0,
1771,Sports-car (VehicleInfo),Created- Spawned,Vehicle,193553,0,0,0,0,0,
1836,Electric Car 04 (VehicleInfo),Created- Spawned,Vehicle,144299,0,0,0,0,0,
1883,Hatchback (VehicleInfo),Created- Spawned,Vehicle,208762,0,0,2,0,0,
1948,Suv (VehicleInfo),Created- Spawned,Vehicle,34400,0,0,1,0,0,
1959,Camper Van 01 (VehicleInfo),Created- Spawned,Vehicle,235301,0,0,2,0,0,
1961,Sedan (VehicleInfo),Created- Spawned,Vehicle,240641,0,0,0,0,0,
1998,Sedan (VehicleInfo),Created- Spawned,Vehicle,132912,0,0,1,0,0,
2009,Bugspray Van (VehicleInfo),Created- Spawned- TransferToTarget- GoingBack- Importing,Vehicle,172901,24075,0,0,0,0,
2044,Sports-car (VehicleInfo),Created- Spawned,Vehicle,163176,0,0,1,0,0,
2134,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,165428,0,0,1,0,0,
2144,Electric Car 03 (VehicleInfo),Created- Spawned,Vehicle,231974,0,0,2,0,0,
2150,Scooter (VehicleInfo),Created- Spawned,Vehicle,175717,0,0,2,0,0,
2177,Suv (VehicleInfo),Created- Spawned,Vehicle,81307,0,0,0,0,0,
2190,Hatchback (VehicleInfo),Created- Spawned,Vehicle,182825,0,0,2,0,0,
2243,Sports-car (VehicleInfo),Created- Spawned,Vehicle,104728,0,0,1,0,0,
2245,Scooter (VehicleInfo),Created- Spawned,Vehicle,114952,0,0,0,0,0,
2280,Lorry (VehicleInfo),Created- Spawned- TransferToTarget- Exporting,Vehicle,23728,3606,24075,0,0,0,
2289,Scooter (VehicleInfo),Created- Spawned,Vehicle,251897,0,0,3,0,0,
2344,Sedan (VehicleInfo),Created- Spawned,Vehicle,9359,0,0,1,0,0,
2368,Hatchback (VehicleInfo),Created- Spawned,Vehicle,187237,0,0,1,0,0,
2369,Suv (VehicleInfo),Created- Spawned,Vehicle,81258,0,0,1,0,0,
2374,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,186001,0,0,0,0,0,
2377,Personal Electric Transport Ride (VehicleInfo),Created- Spawned,Vehicle,111328,0,0,2,0,0,
2385,Electric Car 03 (VehicleInfo),Created- Spawned,Vehicle,161253,0,0,3,0,0,
2389,Sedan (VehicleInfo),Created- Spawned,Vehicle,144617,0,0,2,0,0,
2460,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,252956,0,0,2,0,0,
2476,Suv (VehicleInfo),Created- Spawned,Vehicle,58750,0,0,0,0,0,
2492,Sports-car (VehicleInfo),Created- Spawned,Vehicle,110500,0,0,0,0,0,
2511,Suv (VehicleInfo),Created- Spawned,Vehicle,141939,0,0,0,0,0,
2605,Suv (VehicleInfo),Created- Spawned,Vehicle,235570,0,0,2,0,0,
2627,Suv (VehicleInfo),Created- Spawned,Vehicle,180840,0,0,4,0,0,
2692,Sedan (VehicleInfo),Created- Spawned,Vehicle,28210,0,0,1,0,0,
2707,Sports-car (VehicleInfo),Created- Spawned,Vehicle,159471,0,0,1,0,0,
2751,Lorry (VehicleInfo),Created- Spawned- TransferToTarget- GoingBack- Importing,Vehicle,167342,24075,0,0,0,0,
2791,Suv (VehicleInfo),Created- Spawned- Stopped,Vehicle,161754,0,0,1,12299,1,
2824,Personal Electric Transport Ride (VehicleInfo),Created- Spawned,Vehicle,11105,0,0,1,0,0,
2866,Suv (VehicleInfo),Created- Spawned,Vehicle,55672,0,0,1,0,0,
2891,Scooter (VehicleInfo),Created- Spawned,Vehicle,27538,0,0,0,0,0,
2919,Sedan (VehicleInfo),Created- Spawned,Vehicle,139058,0,0,1,0,0,
2933,Sports-car (VehicleInfo),Created- Spawned,Vehicle,174918,0,0,1,0,0,
2995,Scooter (VehicleInfo),Created- Spawned,Vehicle,59357,0,0,2,0,0,
3029,Sedan (VehicleInfo),Created- Spawned,Vehicle,208063,0,0,2,0,0,
3097,Hatchback (VehicleInfo),Created- Spawned,Vehicle,90397,0,0,0,0,0,
3168,Scooter (VehicleInfo),Created- Spawned,Vehicle,46408,0,0,3,0,0,
3183,Sedan (VehicleInfo),Created- Spawned,Vehicle,132680,0,0,0,0,0,
3210,Sedan (VehicleInfo),Created- Spawned,Vehicle,52217,0,0,1,0,0,
3213,Sedan (VehicleInfo),Created- Spawned,Vehicle,107733,0,0,3,0,0,
3403,Suv (VehicleInfo),Created- Spawned,Vehicle,170024,0,0,5,5629,0,
3418,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,246558,0,0,1,0,0,
3460,Scooter (VehicleInfo),Created- Spawned,Vehicle,109648,0,0,0,0,0,
3461,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,21756,0,0,1,0,0,
3555,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,14959,0,0,1,0,0,
3566,Suv (VehicleInfo),Created- Spawned,Vehicle,200390,0,0,2,5146,0,
