id,info,flags,type,path,source,destination,tourist,trailing,wait
1,Camper Van 03 (VehicleInfo),Created- Spawned,Vehicle,88139,0,0,1,0,0
31,Van (VehicleInfo),Created- Spawned- TransferToTarget- Arriving- GoingBack- Exporting,Vehicle,13398,47214,0,0,0,0
82,Scooter (VehicleInfo),Created- Spawned,Vehicle,242686,0,0,1,2897,0
97,Suv (VehicleInfo),Created- Spawned,Vehicle,115353,0,0,1,0,0
108,Camper Van 01 (VehicleInfo),Created- Spawned,Vehicle,195613,0,0,1,0,0
119,Sedan (VehicleInfo),Created- Spawned,Vehicle,236717,0,0,3,0,0
129,Scooter (VehicleInfo),Created- Spawned,Vehicle,56931,0,0,0,0,0
147,Bus (VehicleInfo),Created- Spawned- TransferToTarget,Vehicle,166443,45862,18538,0,0,0
181,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,63898,0,0,2,0,0
182,Scooter (VehicleInfo),Created- Spawned,Vehicle,74844,0,0,1,0,0
192,Station-wagon (VehicleInfo),Created- Spawned- Arriving,Vehicle,233380,0,0,1,0,0
197,Scooter (VehicleInfo),Created- Spawned,Vehicle,141564,0,0,1,0,0
263,Hatchback (VehicleInfo),Created- Spawned,Vehicle,161681,0,0,1,0,0
265,Electric Car 01 (VehicleInfo),Created- Spawned,Vehicle,229244,0,0,1,0,0
292,Sports-car (VehicleInfo),Created- Spawned,Vehicle,83938,0,0,1,0,0
323,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,101084,0,0,0,0,0
338,Electric Car 04 (VehicleInfo),Created- Spawned,Vehicle,121924,0,0,1,0,0
369,Sports-car (VehicleInfo),Created- Spawned,Vehicle,231942,0,0,0,0,0
402,Camper Trailer 01 (VehicleInfo),Created- Spawned,Vehicle,0,0,0,0,0,0
404,Electric Car 02 (VehicleInfo),Created- Spawned,Vehicle,36497,0,0,1,0,0
420,Donut Van (VehicleInfo),Created- Spawned- TransferToTarget- GoingBack- Exporting,Vehicle,210040,25710,0,0,0,0
433,Bus (VehicleInfo),Created- Spawned- TransferToTarget,Vehicle,41221,45862,23505,0,0,0
440,Camper Van 01 (VehicleInfo),Created- Spawned,Vehicle,187109,0,0,4,0,0
453,Suv (VehicleInfo),Created- Spawned,Vehicle,228072,0,0,0,0,0
457,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,142403,0,0,2,0,0
458,Tractor (VehicleInfo),Created- Spawned- TransferToTarget- Importing- Exporting,Vehicle,17785,30157,735,0,10232,0
500,Sports-car (VehicleInfo),Created- Spawned,Vehicle,236523,0,0,3,0,0
519,Sports-car (VehicleInfo),Created- Spawned,Vehicle,130833,0,0,0,0,0
524,Personal Electric Transport Ride (VehicleInfo),Created- Spawned,Vehicle,118943,0,0,1,0,0
538,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,247919,0,0,0,0,0
560,Tractor (VehicleInfo),Created- Spawned- TransferToTarget- GoingBack- Importing- Exporting,Vehicle,207230,30157,0,0,10469,0
564,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,259404,0,0,1,0,0
570,Camper Van 02 (VehicleInfo),Created- Spawned,Vehicle,165286,0,0,1,0,0
596,Personal Electric Transport Ride (VehicleInfo),Created- Spawned,Vehicle,257383,0,0,1,0,0
597,Suv (VehicleInfo),Created- Spawned,Vehicle,220904,0,0,0,0,0
621,Hatchback (VehicleInfo),Created- Spawned,Vehicle,83719,0,0,0,0,0
626,Personal Electric Transport Ride (VehicleInfo),Created- Spawned,Vehicle,147718,0,0,1,0,0
629,Scooter (VehicleInfo),Created- Spawned,Vehicle,6277,0,0,0,0,0
637,Sports-car (VehicleInfo),Created- Spawned,Vehicle,259119,0,0,1,0,0
644,Hatchback (VehicleInfo),Created- Spawned,Vehicle,136232,0,0,0,0,0
651,Scooter (VehicleInfo),Created- Spawned,Vehicle,234106,0,0,2,0,0
745,Sports-car (VehicleInfo),Created- Spawned,Vehicle,115712,0,0,1,0,0
753,Suv (VehicleInfo),Created- Spawned,Vehicle,32236,0,0,1,0,0
805,Camper Van 02 (VehicleInfo),Created- Spawned,Vehicle,231613,0,0,2,0,0
812,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,57333,0,0,0,0,0
837,Hatchback (VehicleInfo),Created- Spawned- Arriving,Vehicle,151221,0,0,1,0,0
857,Bus (VehicleInfo),Created- Spawned- TransferToTarget- Arriving,Vehicle,60903,45862,18537,0,0,0
879,Lorry (VehicleInfo),Created- Spawned- TransferToTarget- GoingBack- Exporting,Vehicle,248242,3475,0,0,0,0
907,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,91676,0,0,1,0,0
940,Suv (VehicleInfo),Created- Spawned,Vehicle,9172,0,0,0,0,0
962,Camper Trailer 01 (VehicleInfo),Created- Spawned,Vehicle,0,0,0,0,0,0
987,Bus (VehicleInfo),Created- Spawned- TransferToTarget,Vehicle,93478,45862,23507,0,0,0
1051,Hatchback (VehicleInfo),Created- Spawned,Vehicle,103875,0,0,0,0,0
1100,Scooter (VehicleInfo),Created- Spawned,Vehicle,64402,0,0,2,0,0
1112,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,110629,0,0,1,0,0
1115,Bus (VehicleInfo),Created- Spawned- TransferToTarget,Vehicle,162216,45862,16320,0,0,0
1161,Sedan (VehicleInfo),Created- Spawned,Vehicle,177185,0,0,1,0,0
1173,Bus (VehicleInfo),Created- Spawned- TransferToTarget,Vehicle,178828,45862,22123,0,0,0
1206,Donut Van (VehicleInfo),Created- Spawned- TransferToTarget- GoingBack- Exporting,Vehicle,17674,12785,0,0,0,0
1225,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,145017,0,0,2,0,0
1226,Bus (VehicleInfo),Created- Spawned- TransferToTarget,Vehicle,195176,45862,16323,0,0,0
1260,Suv (VehicleInfo),Created- Spawned,Vehicle,206829,0,0,1,10696,0
1265,Scooter (VehicleInfo),Created- Spawned,Vehicle,220478,0,0,1,0,0
1271,Camper Trailer 02 (VehicleInfo),Created- Spawned,Vehicle,0,0,0,0,0,0
1272,Sedan (VehicleInfo),Created- Spawned,Vehicle,28029,0,0,1,0,0
1291,Sedan (VehicleInfo),Created- Spawned,Vehicle,69514,0,0,0,0,0
1316,Hatchback (VehicleInfo),Created- Spawned,Vehicle,155978,0,0,0,0,0
1332,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,253502,0,0,1,0,0
1337,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,192498,0,0,0,0,0
1340,Camper Van 02 (VehicleInfo),Created- Spawned,Vehicle,252092,0,0,2,0,0
1346,Hatchback (VehicleInfo),Created- Spawned,Vehicle,1912,0,0,1,0,0
1402,Suv (VehicleInfo),Created- Spawned,Vehicle,30233,0,0,3,0,0
1408,Bus (VehicleInfo),Created- Spawned- TransferToTarget,Vehicle,156204,45862,23495,0,0,0
1428,Sedan (VehicleInfo),Created- Spawned,Vehicle,170748,0,0,0,0,0
1435,Suv (VehicleInfo),Created- Spawned,Vehicle,71950,0,0,2,0,0
1447,Electric Car 04 (VehicleInfo),Created- Spawned,Vehicle,154940,0,0,1,0,0
1450,Scooter (VehicleInfo),Created- Spawned,Vehicle,220516,0,0,1,0,0
1480,Scooter (VehicleInfo),Created- Spawned,Vehicle,181105,0,0,1,0,0
1540,Sports-car (VehicleInfo),Created- Spawned,Vehicle,218004,0,0,0,0,0
1559,Hatchback (VehicleInfo),Created- Spawned,Vehicle,8491,0,0,1,0,0
1569,Scooter (VehicleInfo),Created- Spawned,Vehicle,254120,0,0,1,1729,0
1619,Electric Car 03 (VehicleInfo),Created- Spawned,Vehicle,75348,0,0,1,0,0
1622,Hatchback (VehicleInfo),Created- Spawned,Vehicle,57177,0,0,2,0,0
1625,Hatchback (VehicleInfo),Created- Spawned,Vehicle,156854,0,0,2,0,0
1648,Sports-car (VehicleInfo),Created- Spawned,Vehicle,186029,0,0,1,0,0
