id, flags, type, happiness, health, youngs, teens, adults, seniors, p_electric, p_heating, p_water, p_worker, p_health, p_service, p_tax, x,y,z
353,Created- Completed- Abandoned,H1_2x2_Officeblock (BuildingInfo),0,0,0,0,0,0,0,0,0,191,0,0,0,203.1769,223.6893,511.7558
580,Created- Completed- Active,cargoyard (BuildingInfo),96,83,0,0,0,0,0,0,0,0,0,0,0,-441.9033,220.4997,316.5344
835,Created- Completed- Abandoned,H1_3x3_Officeblock (BuildingInfo),0,0,0,0,0,0,0,0,0,191,0,0,0,243.2095,224.205,459.7809
1499,Created- HighDensity- Completed- Active,H1_3x2_Blockhouse (BuildingInfo),65,85,2,8,8,0,0,0,0,0,0,0,0,475.2346,261.5621,419.9265
1992,Created- HighDensity- Completed- Active,H1_4x3_Blockhouse (BuildingInfo),72,78,1,7,12,1,0,0,0,0,0,0,0,479.0465,256.5204,719.9288
2146,Created- HighDensity- Completed- Active,H1_4x3_Blockhouse (BuildingInfo),66,83,4,11,12,0,0,0,0,0,0,0,0,475.202,261.7813,471.9264
2264,Created- HighDensity- Completed- Active,H1_4x4_Blockhouse (BuildingInfo),80,82,1,8,17,0,0,0,0,0,0,0,0,-60.76783,221.5313,423.5903
2462,Created- HighDensity- Completed- Active,H1_3x2_Blockhouse (BuildingInfo),12,5,11,0,4,0,0,0,0,0,10,0,0,679.0264,294.3331,752.0542
2678,Created- Completed- Abandoned,H1_3x4_Officeblock (BuildingInfo),0,0,0,0,0,0,0,0,0,191,0,0,0,258.4245,222.9277,670.8887
2852,Created- HighDensity- Completed- Active,H1_2x2_Blockhouse_Corner (BuildingInfo),58,84,0,2,2,0,0,0,0,0,0,0,0,723.2571,283.2739,384.0819
3047,Created- Completed- Active,H1 4x4 Sweatshop02 (BuildingInfo),95,79,0,0,0,0,0,0,0,0,0,0,0,-525.2907,212.2921,358.3739
3059,Created- Completed- Active,L1 3x4 Detached08 (BuildingInfo),90,85,1,3,4,0,0,0,0,0,0,0,0,87.08163,221.5313,663.6831
3116,Created- Completed- Active- ZonesUpdated,Advanced Wind Turbine (BuildingInfo),0,0,0,0,0,0,0,0,0,0,0,0,0,-618.4167,185.7344,274.8983
3149,Created- HighDensity- Completed- Active,H1_3x2_Blockhouse01 (BuildingInfo),74,82,3,11,12,0,0,0,0,0,0,0,0,-108.7804,221.5469,443.5602
3475,Created- Completed- Active,H1 3x3 Sweatshop04 (BuildingInfo),95,81,0,0,0,0,0,0,0,0,0,0,0,763.0189,301.7645,764.1069
3597,Created- HighDensity- Completed- Abandoned,H1_2x2_CommercialBlockhouse (BuildingInfo),12,85,0,0,1,0,0,0,0,191,0,0,0,418.9963,239.1085,799.8912
4065,Created- Completed- Active- ZonesUpdated,Advanced Wind Turbine (BuildingInfo),0,0,0,0,0,0,0,0,0,0,0,0,0,-637.1597,186.9688,319.796
4128,Created- HighDensity- Completed- Active,H1_3x3_Blockhouse (BuildingInfo),3,0,14,0,4,0,0,0,0,0,0,0,0,-326.2327,221.6875,325.2695
4285,Created- HighDensity- Completed- Active,H1_4x3_Blockhouse (BuildingInfo),15,26,12,0,10,0,0,0,0,0,1,0,0,-274.3803,221.5957,329.1853
4292,Created- HighDensity- Completed- Active,H1_2x2_Blockhouse (BuildingInfo),76,81,0,4,6,0,0,0,0,0,0,0,0,459.0214,246.4717,759.9163
4393,Created- HighDensity- Completed- Active,H1_2x2_Blockhouse (BuildingInfo),80,76,2,5,0,4,0,0,0,0,0,0,0,-68.91329,221.5,655.5853
4820,Created- HighDensity- Completed- Active,H1_4x3_Blockhouse (BuildingInfo),80,75,2,7,19,0,0,0,0,0,0,0,0,-60.86815,221.5313,583.5903
5482,Created- Completed- Active,L1 4x3 Detached12 (BuildingInfo),71,68,1,2,5,0,0,0,0,0,0,0,0,59.08163,221.5313,663.6655
5633,Created- HighDensity- Completed- Active,H1_1x1_Blockhouse (BuildingInfo),85,83,0,1,2,0,0,0,0,0,0,0,0,-72.83053,221.5313,523.5828
5696,Created- Completed- Active,L1 3x2 Shop03b (BuildingInfo),84,82,0,0,5,0,0,0,0,0,0,0,0,234.5124,221.8201,852.1313
5742,Created- Completed- Active,L1 1x2 Shop04 (BuildingInfo),79,81,0,0,1,0,0,0,0,0,0,0,0,245.5934,222.488,836.3782
5757,Created- Completed- Abandoned,L1 4x3 Shop06a (BuildingInfo),31,83,0,0,4,0,0,0,0,0,0,0,0,138.9662,221.5469,847.7157
