Service,sub,lvl,Income,Expense
Electricity,None,None,0,3582000
Water,None,None,0,1391944
Garbage,None,None,0,5664000
HealthCare,None,None,0,6804000
FireDepartment,None,None,0,1848000
PoliceDepartment,None,None,0,1080000
Education,None,None,0,5328000
Monument,None,None,0,1915200
Beautification,None,None,0,771304
Road,None,None,0,3152592
None,None,None,42288448,40898623
Residential,None,None,24849907,0
Commercial,None,None,12845647,0
Industrial,None,None,2490716,0
Office,None,None,1320678,0
PublicTransport,None,None,781500,2680975
Residential,ResidentialLow,None,5797835,0
Residential,ResidentialHigh,None,19052072,0
Commercial,CommercialLow,None,1449459,0
Commercial,CommercialHigh,None,11396188,0
Tourism,None,None,85266,0
Citizen,None,None,12760381,0
PublicTransport,PublicTransportMetro,None,622600,1601887
PublicTransport,PublicTransportTrain,None,0,225888
PublicTransport,PublicTransportShip,None,0,0
PublicTransport,PublicTransportPlane,None,132000,720000
