Service,sub,lvl,Income,Expense
Electricity,None,None,0,160000
Water,None,None,0,60240
Garbage,None,None,0,0
HealthCare,None,None,0,0
FireDepartment,None,None,0,0
PoliceDepartment,None,None,0,0
Education,None,None,0,0
Monument,None,None,0,0
Beautification,None,None,0,0
Road,None,None,0,12320
None,None,None,258008,232560
Residential,None,None,64834,0
Commercial,None,None,165928,0
Industrial,None,None,23319,0
Office,None,None,3927,0
PublicTransport,None,None,0,0
Residential,ResidentialLow,None,0,0
Residential,ResidentialHigh,None,64834,0
Commercial,CommercialLow,None,161407,0
Commercial,CommercialHigh,None,4521,0
Tourism,None,None,0,0
Citizen,None,None,165928,0
PublicTransport,PublicTransportMetro,None,0,0
PublicTransport,PublicTransportTrain,None,0,0
PublicTransport,PublicTransportShip,None,0,0
PublicTransport,PublicTransportPlane,None,0,0
